issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"I am escalating this to the account administration team. Admin, access, and account-removal requests require authorization checks. A human reviewer should verify the account, policy, or incident details before any action is taken. The closest relevant support source is ""Manage members on Team and Enterprise plans.""",admin_management,escalated,product_issue,"Admin, access, and account-removal requests require authorization checks. Escalated despite related source ""Manage members on Team and Enterprise plans"" because the request needs human review."
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"I am escalating this to the assessment support team. Assessment scoring and hiring outcome disputes require human review. A human reviewer should verify the account, policy, or incident details before any action is taken.",screen,escalated,product_issue,Assessment scoring and hiring outcome disputes require human review. Escalated without relying on weak or unrelated retrieval evidence.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"I am escalating this to the billing support team. Refund and payment outcome requests require human review. A human reviewer should verify the account, policy, or incident details before any action is taken. The closest relevant support source is ""Visa Consumer Support.""",dispute_resolution,escalated,product_issue,"Refund and payment outcome requests require human review. Escalated despite related source ""Visa Consumer Support"" because the request needs human review."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"I am escalating this to the billing support team. Refund and payment outcome requests require human review. A human reviewer should verify the account, policy, or incident details before any action is taken.",community,escalated,bug,Refund and payment outcome requests require human review. Escalated without relying on weak or unrelated retrieval evidence.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"I am escalating this to the billing support team. Refund and payment outcome requests require human review. A human reviewer should verify the account, policy, or incident details before any action is taken.",community,escalated,product_issue,Refund and payment outcome requests require human review. Escalated without relying on weak or unrelated retrieval evidence.
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"I am escalating this to the sales and security review team. Vendor security, procurement, and sales-review requests require human account-team handling. A human reviewer should verify the account, policy, or incident details before any action is taken.",general_help,escalated,product_issue,"Vendor security, procurement, and sales-review requests require human account-team handling. Escalated without relying on weak or unrelated retrieval evidence."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,"Log in to HackerRank Community and open the Apply tab to view available developer jobs. From there, use filters such as role, experience level, location, and company, then select a job to review details and apply. If the Apply tab is missing or submissions are failing, capture the error state and contact HackerRank support with your account details.",community,replied,bug,"Answered from the strongest matching corpus source: HackerRank/community ""Search and Apply for Jobs""."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"I am escalating this to the platform incident team. Potential service outage or broad platform failure requires human escalation. A human reviewer should verify the account, policy, or incident details before any action is taken.",screen,escalated,bug,Potential service outage or broad platform failure requires human escalation. Escalated without relying on weak or unrelated retrieval evidence.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"Run the HackerRank Compatibility check again and confirm the Zoom portion is the only failing item. Zoom-powered HackerRank interviews require current Chrome, Edge, or Firefox versions and network access to zoom.us domains. If the Zoom connectivity check still fails after browser and network changes, send HackerRank support or your recruiter a screenshot of the compatibility error so they can help with allowlist or scheduling options.",screen,replied,bug,"Answered from the strongest matching corpus source: HackerRank/interviews ""Audio and Video Calls in Interviews Powered by Zoom""."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"I am escalating this to the assessment scheduling support team. Assessment or interview rescheduling requires recruiter or account-admin coordination. A human reviewer should verify the account, policy, or incident details before any action is taken.",screen,escalated,product_issue,Assessment or interview rescheduling requires recruiter or account-admin coordination. Escalated without relying on weak or unrelated retrieval evidence.
